size;num_tests;p;c
9;100;0.4;0.5972841
9;100;0.41;0.61024696
9;100;0.42;0.6046914
9;100;0.43;0.7233333
9;100;0.44;0.773704
9;100;0.45;0.7541976
9;100;0.46;0.7856789
9;100;0.47;0.8144444
9;100;0.48;0.87530875
9;100;0.49;0.92086405
9;100;0.5;0.8890123
9;100;0.51;0.9330866
9;100;0.52;0.92975295
9;100;0.53;0.93246925
9;100;0.54;0.9435803
9;100;0.55;0.9609876
9;100;0.56;0.98728395
9;100;0.57;0.96333313
9;100;0.58;0.98345673
9;100;0.59;0.9916049
9;100;0.6;0.9883951
9;100;0.61;0.98790133
9;100;0.62;0.9935802
9;100;0.63;0.9937038
9;100;0.64;0.9912346
9;100;0.65;0.9990123
9;100;0.66;0.9945679
9;100;0.67;0.99901235
9;100;0.68;0.9954321
9;100;0.69;0.99950624
9;100;0.7;0.99802476
9;100;0.71;0.99851847
9;100;0.72;0.9990123
9;100;0.73;0.99851847
9;100;0.74;0.99901235
9;100;0.75;0.99851847
9;100;0.76;1.0
9;100;0.77;0.9995062
9;100;0.78;0.9995062
9;100;0.79;1.0
9;100;0.8;0.9990123
9;100;0.81;0.9995062
9;100;0.82;1.0
9;100;0.83;1.0
9;100;0.84;1.0
9;100;0.85;1.0
9;100;0.86;1.0
9;100;0.87;1.0
9;100;0.88;1.0
9;100;0.89;1.0
9;100;0.9;1.0
9;100;0.91;1.0
9;100;0.92;1.0
9;100;0.93;1.0
9;100;0.94;1.0
9;100;0.95;1.0
9;100;0.96;1.0
9;100;0.97;1.0
9;100;0.98;1.0
9;100;0.99;1.0
9;100;1.0;1.0
10;100;0.0;1.0
10;100;0.01;0.98909986
10;100;0.02;0.9604998
10;100;0.03;0.9274998
10;100;0.04;0.888
10;100;0.05;0.8329999
10;100;0.06;0.7542999
10;100;0.07;0.7590999
10;100;0.08;0.71160007
10;100;0.09;0.65540016
10;100;0.1;0.6123
10;100;0.11;0.56879985
10;100;0.12;0.5012999
10;100;0.13;0.50259995
10;100;0.14;0.4270999
10;100;0.15;0.38369998
10;100;0.16;0.38630006
10;100;0.17;0.34090003
10;100;0.18;0.3044001
10;100;0.19;0.29470012
10;100;0.2;0.2594
10;100;0.21;0.24470003
10;100;0.22;0.21670008
10;100;0.23;0.20420001
10;100;0.24;0.22990003
10;100;0.25;0.19400002
10;100;0.26;0.1701
10;100;0.27;0.19610004
10;100;0.28;0.1914
10;100;0.29;0.19970003
10;100;0.3;0.22400002
10;100;0.31;0.23799998
10;100;0.32;0.22210006
10;100;0.33;0.2168
10;100;0.34;0.26510006
10;100;0.35;0.33409995
10;100;0.36;0.3433
10;100;0.37;0.3868
10;100;0.38;0.46489987
10;100;0.39;0.49489993
10;100;0.4;0.4939999
10;100;0.41;0.5425998
10;100;0.42;0.56399995
10;100;0.43;0.6349999
10;100;0.44;0.661
10;100;0.45;0.7500997
10;100;0.46;0.7664999
10;100;0.47;0.7820998
10;100;0.48;0.7924999
10;100;0.49;0.8763998
10;100;0.5;0.87709975
10;100;0.51;0.9342
10;100;0.52;0.91719985
10;100;0.53;0.94669986
10;100;0.54;0.9621999
10;100;0.55;0.96719986
10;100;0.56;0.94949985
10;100;0.57;0.9784998
10;100;0.58;0.9780999
10;100;0.59;0.98769987
10;100;0.6;0.98949987
10;100;0.61;0.99439996
10;100;0.62;0.99199986
10;100;0.63;0.9951999
10;100;0.64;0.9932
10;100;0.65;0.996
10;100;0.66;0.99679995
10;100;0.67;0.99679995
10;100;0.68;0.99609995
10;100;0.69;0.99799997
10;100;0.7;0.9984
10;100;0.71;0.9984
10;100;0.72;0.9988
10;100;0.73;0.9988
10;100;0.74;0.9996
10;100;0.75;1.0
10;100;0.76;1.0
10;100;0.77;0.9992
10;100;0.78;1.0
10;100;0.79;1.0
10;100;0.8;0.9996
10;100;0.81;1.0
10;100;0.82;0.9996
10;100;0.83;0.9996
10;100;0.84;1.0
10;100;0.85;0.9996
10;100;0.86;1.0
10;100;0.87;1.0
10;100;0.88;1.0
10;100;0.89;1.0
10;100;0.9;1.0
10;100;0.91;1.0
10;100;0.92;1.0
10;100;0.93;1.0
10;100;0.94;1.0
10;100;0.95;1.0
10;100;0.96;1.0
10;100;0.97;1.0
10;100;0.98;1.0
10;100;0.99;1.0
10;100;1.0;1.0
11;100;0.0;1.0
11;100;0.01;0.9867769
11;100;0.02;0.946033
11;100;0.03;0.9276859
11;100;0.04;0.8594213
11;100;0.05;0.79842967
11;100;0.06;0.74198335
11;100;0.07;0.7024793
11;100;0.08;0.646777
11;100;0.09;0.6131403
11;100;0.1;0.53950423
11;100;0.11;0.5186777
11;100;0.12;0.4622314
11;100;0.13;0.4266942
11;100;0.14;0.35239667
11;100;0.15;0.3440497
11;100;0.16;0.31049588
11;100;0.17;0.23793396
11;100;0.18;0.23008259
11;100;0.19;0.19396694
11;100;0.2;0.1921488
11;100;0.21;0.1977686
11;100;0.22;0.1350413
11;100;0.23;0.12363636
11;100;0.24;0.14826445
11;100;0.25;0.14115703
11;100;0.26;0.12495871
11;100;0.27;0.1542149
11;100;0.28;0.11958678
11;100;0.29;0.16677687
11;100;0.3;0.1090909
11;100;0.31;0.15429756
11;100;0.32;0.1371901
11;100;0.33;0.15537192
11;100;0.34;0.20537193
11;100;0.35;0.22165297
11;100;0.36;0.28487608
11;100;0.37;0.29611576
11;100;0.38;0.35264468
11;100;0.39;0.37677687
11;100;0.4;0.3861156
11;100;0.41;0.4553719
11;100;0.42;0.52347094
11;100;0.43;0.5634711
11;100;0.44;0.62826437
11;100;0.45;0.74082637
11;100;0.46;0.7079337
11;100;0.47;0.8164461
11;100;0.48;0.782314
11;100;0.49;0.8671072
